STATION,NAME,DATE,PRCP,SNOW,TAVG,TMAX,TMIN
USW00003872,"BECKLEY RALEIGH CO AIRPORT, WV US",2018-01,2.33,11.7,28.7,37.7,19.7
USW00003872,"BECKLEY RALEIGH CO AIRPORT, WV US",2018-02,6.98,7.8,43.8,52.9,34.7
USW00003872,"BECKLEY RALEIGH CO AIRPORT, WV US",2018-03,3.94,21.6,37.2,46.1,28.4
USW00003872,"BECKLEY RALEIGH CO AIRPORT, WV US",2018-04,3.92,3.5,48.8,60.2,37.3
USW00003872,"BECKLEY RALEIGH CO AIRPORT, WV US",2018-05,5.32,0,67.7,77.4,57.9
USW00003872,"BECKLEY RALEIGH CO AIRPORT, WV US",2018-06,4.15,0,69.6,79.4,59.9
USW00003872,"BECKLEY RALEIGH CO AIRPORT, WV US",2018-07,3.98,0,71.8,81.2,62.3
USW00003872,"BECKLEY RALEIGH CO AIRPORT, WV US",2018-08,4.26,0,71.2,80.1,62.2
USW00003872,"BECKLEY RALEIGH CO AIRPORT, WV US",2018-09,9.98,0,69.9,77.3,62.5
USW00003872,"BECKLEY RALEIGH CO AIRPORT, WV US",2018-10,2.58,0.2,54.7,63.1,46.3
USW00003872,"BECKLEY RALEIGH CO AIRPORT, WV US",2018-11,5.13,3.4,39.9,47.6,32.1
USW00003872,"BECKLEY RALEIGH CO AIRPORT, WV US",2018-12,4.65,17.1,37.8,44.7,31
USW00003872,"BECKLEY RALEIGH CO AIRPORT, WV US",2019-01,3.2,10.1,31,38.4,23.5
USW00003872,"BECKLEY RALEIGH CO AIRPORT, WV US",2019-02,6.36,1.3,41.5,50.9,32.1
USW00003872,"BECKLEY RALEIGH CO AIRPORT, WV US",2019-03,2.63,8.2,40.7,50.6,30.7
USW00003872,"BECKLEY RALEIGH CO AIRPORT, WV US",2019-04,2.85,0,56.4,67.9,45
USW00003872,"BECKLEY RALEIGH CO AIRPORT, WV US",2019-05,5.3,0,66,75.6,56.4
USW00003872,"BECKLEY RALEIGH CO AIRPORT, WV US",2019-06,2.56,0,67.2,76.2,58.3
USW00003872,"BECKLEY RALEIGH CO AIRPORT, WV US",2019-07,5.23,0,73.5,83.5,63.6
USW00003872,"BECKLEY RALEIGH CO AIRPORT, WV US",2019-08,3.61,0,70.8,81.1,60.6
USW00003872,"BECKLEY RALEIGH CO AIRPORT, WV US",2019-09,0.11,0,71.9,83.8,59.9
USW00003872,"BECKLEY RALEIGH CO AIRPORT, WV US",2019-10,6.84,0,57.7,68.6,46.9
USW00003872,"BECKLEY RALEIGH CO AIRPORT, WV US",2019-11,2.26,1.8,39.9,50.1,29.7
USW00003872,"BECKLEY RALEIGH CO AIRPORT, WV US",2019-12,3.16,5.7,40.1,48.7,31.5
USW00003872,"BECKLEY RALEIGH CO AIRPORT, WV US",2020-01,2.42,7.4,37.4,44.9,29.9
USW00003872,"BECKLEY RALEIGH CO AIRPORT, WV US",2020-02,6.52,9.4,38,46.9,29.1
USW00003872,"BECKLEY RALEIGH CO AIRPORT, WV US",2020-03,4.98,1.8,48.8,58.1,39.4
USW00003872,"BECKLEY RALEIGH CO AIRPORT, WV US",2020-04,5.78,1.5,48.6,59,38.3
USW00003872,"BECKLEY RALEIGH CO AIRPORT, WV US",2020-05,5.24,0,57.9,67.3,48.5
USW00003872,"BECKLEY RALEIGH CO AIRPORT, WV US",2020-06,5.98,0,67.5,76.7,58.3
USW00003872,"BECKLEY RALEIGH CO AIRPORT, WV US",2020-07,3.5,0,74.9,84.8,65
USW00003872,"BECKLEY RALEIGH CO AIRPORT, WV US",2020-08,6.98,0,71.6,80.3,62.9
USW00003872,"BECKLEY RALEIGH CO AIRPORT, WV US",2020-09,2.26,0,63.5,72,55.1
USW00003872,"BECKLEY RALEIGH CO AIRPORT, WV US",2020-10,3.03,0,56.2,65.6,46.8
USW00003872,"BECKLEY RALEIGH CO AIRPORT, WV US",2020-11,1.65,0.1,48.6,59.3,37.9
USW00003872,"BECKLEY RALEIGH CO AIRPORT, WV US",2020-12,3.32,14.1,34.6,42.4,26.9
USW00003872,"BECKLEY RALEIGH CO AIRPORT, WV US",2021-01,3.49,19.1,32,37.9,26.2
USW00003872,"BECKLEY RALEIGH CO AIRPORT, WV US",2021-02,5.13,10.3,32.8,40.7,24.9
USW00003872,"BECKLEY RALEIGH CO AIRPORT, WV US",2021-03,4.85,0,46.3,58,34.6
USW00003872,"BECKLEY RALEIGH CO AIRPORT, WV US",2021-04,2.05,0.8,51.8,62.9,40.8
USW00003872,"BECKLEY RALEIGH CO AIRPORT, WV US",2021-05,2.12,0,59,69.7,48.2
USW00003872,"BECKLEY RALEIGH CO AIRPORT, WV US",2021-06,4.54,0,69.1,78.8,59.5
USW00003872,"BECKLEY RALEIGH CO AIRPORT, WV US",2021-07,3.3,0,71.4,81.2,61.5
USW00003872,"BECKLEY RALEIGH CO AIRPORT, WV US",2021-08,7.43,0,72.9,82.5,63.3
USW00003872,"BECKLEY RALEIGH CO AIRPORT, WV US",2021-09,2.38,0,64.5,74.2,54.7
USW00003872,"BECKLEY RALEIGH CO AIRPORT, WV US",2021-10,2.86,0,58.3,66.6,49.9
USW00003872,"BECKLEY RALEIGH CO AIRPORT, WV US",2021-11,1.22,0,41.2,51.3,31
USW00003872,"BECKLEY RALEIGH CO AIRPORT, WV US",2021-12,2.48,0.8,44.8,54.4,35.2
USW00003872,"BECKLEY RALEIGH CO AIRPORT, WV US",2022-01,5.14,24.3,28.1,36.2,20
USW00003872,"BECKLEY RALEIGH CO AIRPORT, WV US",2022-02,3.94,2.6,37.8,48.7,27
USW00003872,"BECKLEY RALEIGH CO AIRPORT, WV US",2022-03,2.41,6.6,46.1,57.9,34.3
USW00003872,"BECKLEY RALEIGH CO AIRPORT, WV US",2022-04,2.82,0.9,52.2,63,41.5
USW00003872,"BECKLEY RALEIGH CO AIRPORT, WV US",2022-05,4.76,0,63.8,74,53.6
USW00003872,"BECKLEY RALEIGH CO AIRPORT, WV US",2022-06,2.92,0,68.5,79.2,57.9
